+----------------------------+-----------------+------+-----+---------+----------------+
| Field                      | Type            | Null | Key | Default | Extra          |
| res_score                  | float(12,1)     | NO   |     | NULL    |                |
| res_score_v                | varchar(16)     | NO   |     | NULL    |                |
| res_score_p                | varchar(16)     | NO   |     | NULL    |                |
| eng_score                  | float(12,1)     | NO   |     | NULL    |                |
| eng_score_v                | varchar(16)     | NO   |     | NULL    |                |
| eng_score_p                | varchar(16)     | NO   |     | NULL    |                |
| out_score                  | float(12,1)     | NO   |     | NULL    |                |
| out_score_v                | varchar(16)     | NO   |     | NULL    |                |
| out_score_p                | varchar(16)     | NO   |     | NULL    |                |
| env_score                  | float(12,1)     | NO   |     | NULL    |                |
| env_score_v                | varchar(16)     | NO   |     | NULL    |                |
| env_score_p                | varchar(16)     | NO   |     | NULL    |                |
| fin_per_stu                | float(12,1)     | NO   |     | NULL    |                |
| fin_per_stu_v              | varchar(16)     | NO   |     | NULL    |                |
| fin_per_stu_p              | varchar(16)     | YES  |     | NULL    |                |
| fac_per_stu                | float(12,1)     | NO   |     | NULL    |                |
| fac_per_stu_v              | varchar(16)     | NO   |     | NULL    |                |
| fac_per_stu_p              | varchar(16)     | YES  |     | NULL    |                |
| biblio                     | float(12,1)     | NO   |     | NULL    |                |
| biblio_v                   | varchar(16)     | NO   |     | NULL    |                |
| biblio_p                   | varchar(16)     | YES  |     | NULL    |                |
| mock_exam                  | float(12,1)     | NO   |     | NULL    |                |
| mock_exam_v                | varchar(16)     | NO   |     | NULL    |                |
| mock_exam_p                | varchar(16)     | YES  |     | NULL    |                |
| funding                    | float(12,1)     | NO   |     | NULL    |                |
| funding_v                  | varchar(16)     | NO   |     | NULL    |                |
| funding_p                  | varchar(16)     | YES  |     | NULL    |                |
| global                     | float(12,1)     | NO   |     | NULL    |                |
| global_v                   | varchar(16)     | NO   |     | NULL    |                |
| global_p                   | varchar(16)     | YES  |     | NULL    |                |
| ability                    | float(12,1)     | NO   |     | NULL    |                |
| ability_v                  | varchar(16)     | NO   |     | NULL    |                |
| ability_p                  | varchar(16)     | YES  |     | NULL    |                |
| emp_rep                    | float(12,1)     | NO   |     | NULL    |                |
| emp_rep_v                  | varchar(16)     | NO   |     | NULL    |                |
| emp_rep_p                  | varchar(16)     | YES  |     | NULL    |                |
| rep                        | float(12,1)     | NO   |     | NULL    |                |
| rep_v                      | varchar(16)     | NO   |     | NULL    |                |
| rep_p                      | varchar(16)     | YES  |     | NULL    |                |
| int_stu                    | float(12,1)     | NO   |     | NULL    |                |
| int_stu_v                  | varchar(16)     | NO   |     | NULL    |                |
| int_stu_p                  | varchar(16)     | NO   |     | NULL    |                |
| int_staff                  | float(12,1)     | NO   |     | NULL    |                |
| int_staff_v                | varchar(16)     | NO   |     | NULL    |                |
| int_staff_p                | varchar(16)     | YES  |     | NULL    |                |
| study_abroad_long          | float(12,1)     | NO   |     | NULL    |                |
| study_abroad_long_v        | varchar(16)     | NO   |     | NULL    |                |
| study_abroad_long_p        | varchar(16)     | NO   |     | NULL    |                |
| study_abroad_short         | float(12,1)     | NO   |     | NULL    |                |
| study_abroad_short_v       | varchar(16)     | NO   |     | NULL    |                |
| study_abroad_short_p       | varchar(16)     | NO   |     | NULL    |                |
| all_english                | float(12,1)     | NO   |     | NULL    |                |
| all_english_v              | varchar(16)     | NO   |     | NULL    |                |
| all_english_p              | varchar(16)     | NO   |     | NULL    |                |
| active_learning            | float(12,1)     | NO   |     | NULL    |                |
| active_learning_v          | varchar(16)     | NO   |     | NULL    |                |
| active_learning_p          | varchar(16)     | NO   |     | NULL    |                |
| career_decision            | float(12,1)     | NO   |     | NULL    |                |
| career_decision_v          | varchar(16)     | NO   |     | NULL    |                |
| career_decision_p          | varchar(16)     | NO   |     | NULL    |                |
| opt1                       | varchar(128)    | NO   |     | NULL    |                |
| opt2                       | varchar(128)    | NO   |     | NULL    |                |
| opt3                       | varchar(128)    | NO   |     | NULL    |                |
| opt4                       | varchar(128)    | NO   |     | NULL    |                |
| opt5                       | varchar(128)    | NO   |     | NULL    |                |
| text1                      | varchar(1024)   | NO   |     | NULL    |                |
| text2                      | varchar(1024)   | NO   |     | NULL    |                |
| text3                      | varchar(1024)   | NO   |     | NULL    |                |
+----------------------------+-----------------+------+-----+---------+----------------+
